NO,"Release
Date",Movie,"Production
Budget","Domestic
Gross","Worldwide
Gross"
467,2-Dec-15,Point Break,"$100,000,000 ","$28,782,481 ","$126,704,591 "
468,17-Dec-19,Cats,"$100,000,000 ","$27,166,770 ","$75,568,355 "
469,26-Nov-15,In the Heart of the Sea,"$100,000,000 ","$25,020,758 ","$89,693,309 "
470,18-Apr-14,Transcendence,"$100,000,000 ","$23,022,309 ","$103,039,258 "
471,18-Feb-05,Son of the Mask,"$100,000,000 ","$17,018,422 ","$59,918,422 "
472,5-Dec-18,Mortal Engines,"$100,000,000 ","$15,951,040 ","$85,481,904 "
473,3-Feb-21,Chaos Walking,"$100,000,000 ","$13,287,908 ","$27,072,169 "
474,13-Oct-21,The Last Duel,"$100,000,000 ","$10,853,945 ","$30,080,003 "
475,16-Aug-02,The Adventures of Pluto Nash,"$100,000,000 ","$4,411,102 ","$7,094,995 "
476,20-Jan-12,Jin líng shí san chai,"$100,000,000 ","$311,434 ","$98,227,017 "
477,9-Dec-20,The Midnight Sky,"$100,000,000 ",$0 ,"$75,615 "
478,12-Jun-20,Artemis Fowl,"$100,000,000 ",$0 ,$0 
479,5-Nov-15,The Peanuts Movie,"$99,000,000 ","$130,178,411 ","$250,091,610 "
480,6-Feb-19,The LEGO Movie 2: The Second Part,"$99,000,000 ","$105,806,508 ","$190,131,035 "
481,21-Nov-18,Robin Hood,"$99,000,000 ","$30,824,628 ","$85,210,012 "
482,4-May-01,The Mummy Returns,"$98,000,000 ","$202,007,640 ","$435,040,395 "
483,14-Nov-19,Ford v. Ferrari,"$97,600,000 ","$117,624,357 ","$224,390,706 "
484,20-Dec-02,Gangs of New York,"$97,000,000 ","$77,730,500 ","$183,124,621 "
485,4-May-17,Alien: Covenant,"$97,000,000 ","$74,262,031 ","$238,521,247 "
486,6-Mar-15,Cinderella,"$95,000,000 ","$201,151,353 ","$542,351,353 "
487,27-Jun-12,Ice Age: Continental Drift,"$95,000,000 ","$161,321,843 ","$879,765,137 "
488,28-Dec-01,Black Hawk Down,"$95,000,000 ","$108,638,745 ","$159,691,085 "
489,27-May-10,Sex and the City 2,"$95,000,000 ","$95,347,692 ","$294,680,778 "
490,12-Feb-10,Percy Jackson & the Olympians: The Lightning Thief,"$95,000,000 ","$88,768,303 ","$223,050,874 "
491,10-Aug-12,The Campaign,"$95,000,000 ","$86,907,746 ","$104,907,746 "
492,12-Nov-10,Unstoppable,"$95,000,000 ","$81,562,942 ","$165,720,921 "
493,9-May-97,The Fifth Element,"$95,000,000 ","$63,570,862 ","$263,892,820 "
494,31-Mar-00,The Road to El Dorado,"$95,000,000 ","$50,802,661 ","$65,700,000 "
495,11-Dec-09,The Lovely Bones,"$95,000,000 ","$44,114,232 ","$94,894,448 "
496,30-Jun-16,Ben-Hur,"$95,000,000 ","$26,410,477 ","$91,669,648 "
497,19-Dec-14,Seventh Son,"$95,000,000 ","$17,725,785 ","$108,874,967 "
498,30-May-03,Finding Nemo,"$94,000,000 ","$380,529,370 ","$936,094,852 "
499,17-Dec-03,The Lord of the Rings: The Return of the King,"$94,000,000 ","$379,021,990 ","$1,121,386,981 "
500,18-Dec-02,The Lord of the Rings: The Two Towers,"$94,000,000 ","$342,548,984 ","$919,148,764 "
501,15-Jun-01,Lara Croft: Tomb Raider,"$94,000,000 ","$131,144,183 ","$273,330,185 "
502,29-Jan-15,Kingsman: The Secret Service,"$94,000,000 ","$128,261,724 ","$404,561,724 "
503,19-Dec-01,The Lord of the Rings: The Fellowship of the Ring,"$93,000,000 ","$315,544,750 ","$891,216,824 "
504,18-Jul-01,Jurassic Park III,"$93,000,000 ","$181,166,115 ","$365,900,000 "
505,5-Aug-11,Rise of the Planet of the Apes,"$93,000,000 ","$176,760,185 ","$470,986,200 "
506,14-Feb-08,The Spiderwick Chronicles,"$92,500,000 ","$71,195,053 ","$162,839,667 "
507,22-Oct-04,The Incredibles,"$92,000,000 ","$261,441,092 ","$631,441,092 "
508,6-Feb-13,A Good Day to Die Hard,"$92,000,000 ","$67,349,198 ","$304,249,198 "
509,9-Apr-04,The Alamo,"$92,000,000 ","$22,406,362 ","$23,911,362 "
510,22-Dec-95,Cutthroat Island,"$92,000,000 ","$10,017,322 ","$18,517,322 "
511,19-Dec-13,The Secret Life of Walter Mitty,"$91,000,000 ","$58,236,838 ","$187,861,183 "
512,20-Dec-17,Jumanji: Welcome to the Jungle,"$90,000,000 ","$404,508,916 ","$961,632,807 "
513,1-Jul-97,Men in Black,"$90,000,000 ","$250,690,539 ","$587,790,539 "
514,19-Nov-99,Toy Story 2,"$90,000,000 ","$245,852,179 ","$511,358,276 "
515,3-Aug-01,Rush Hour 2,"$90,000,000 ","$226,164,286 ","$347,425,832 "
516,25-Dec-09,Sherlock Holmes,"$90,000,000 ","$209,028,679 ","$498,438,212 "
517,15-Jan-20,Bad Boys For Life,"$90,000,000 ","$204,417,855 ","$424,471,663 "
518,1-Jul-09,Ice Age: Dawn of the Dinosaurs,"$90,000,000 ","$196,573,705 ","$886,686,817 "
519,30-Mar-22,Sonic the Hedgehog 2,"$90,000,000 ","$190,872,904 ","$405,421,518 "
520,12-Dec-18,Spider-Man: Into The Spider-Verse 3D,"$90,000,000 ","$190,173,195 ","$375,464,627 "
521,2-Dec-22,Puss in Boots: The Last Wish,"$90,000,000 ","$185,535,345 ","$482,752,567 "
522,21-Jul-00,What Lies Beneath,"$90,000,000 ","$155,464,351 ","$288,693,989 "
523,13-Feb-20,Sonic The Hedgehog,"$90,000,000 ","$146,066,470 ","$302,536,124 "
524,7-Apr-11,Rio,"$90,000,000 ","$143,619,809 ","$487,519,809 "
525,24-Jul-19,Once Upon a Time…in Hollywood,"$90,000,000 ","$142,502,728 ","$377,426,903 "
526,6-Oct-06,The Departed,"$90,000,000 ","$132,384,315 ","$289,660,619 "
527,3-Nov-00,Charlie's Angels,"$90,000,000 ","$125,305,545 ","$259,736,090 "
528,19-Jun-98,Mulan,"$90,000,000 ","$120,620,254 ","$303,500,000 "
529,13-Aug-08,Tropic Thunder,"$90,000,000 ","$110,515,313 ","$191,145,256 "
530,20-Dec-11,The Girl with the Dragon Tattoo,"$90,000,000 ","$102,515,793 ","$239,373,970 "
531,11-Jul-97,Contact,"$90,000,000 ","$100,920,329 ","$165,900,000 "
532,6-Jun-08,You Don't Mess With the Zohan,"$90,000,000 ","$100,018,837 ","$202,910,991 "
533,19-May-95,Die Hard: With a Vengeance,"$90,000,000 ","$100,012,499 ","$366,101,666 "
534,27-Jul-22,DC League of Super Pets,"$90,000,000 ","$93,657,117 ","$203,891,589 "
535,12-Sep-16,The Magnificent Seven,"$90,000,000 ","$93,432,655 ","$162,122,642 "
536,18-Dec-15,Alvin and the Chipmunks: The Road Chip,"$90,000,000 ","$85,886,987 ","$249,517,956 "
537,8-Jun-01,Atlantis: The Lost Empire,"$90,000,000 ","$84,052,762 ","$186,049,020 "
538,25-Dec-08,Valkyrie,"$90,000,000 ","$83,107,829 ","$203,932,174 "
539,16-Jul-15,Pixels,"$90,000,000 ","$78,765,986 ","$244,041,804 "
540,29-Jun-01,Artificial Intelligence: AI,"$90,000,000 ","$78,616,689 ","$235,900,000 "
541,26-Nov-03,The Haunted Mansion,"$90,000,000 ","$75,817,994 ","$155,750,628 "
542,4-Aug-00,Hollow Man,"$90,000,000 ","$73,209,340 ","$191,200,000 "
543,22-Apr-05,The Interpreter,"$90,000,000 ","$72,708,161 ","$162,753,837 "
544,7-Aug-13,Percy Jackson: Sea of Monsters,"$90,000,000 ","$68,559,554 ","$200,859,554 "
545,25-Jul-03,Lara Croft: Tomb Raider: The Cradle of Life,"$90,000,000 ","$65,653,758 ","$157,092,943 "
546,27-May-16,Now You See Me 2,"$90,000,000 ","$65,075,540 ","$328,325,007 "
547,21-Nov-01,Spy Game,"$90,000,000 ","$62,362,560 ","$143,049,560 "
548,4-Apr-97,The Saint,"$90,000,000 ","$61,363,304 ","$169,400,000 "
549,10-Mar-00,Mission to Mars,"$90,000,000 ","$60,874,615 ","$106,000,000 "
550,6-Mar-18,Tomb Raider,"$90,000,000 ","$58,250,803 ","$273,477,501 "
551,17-Dec-99,Bicentennial Man,"$90,000,000 ","$58,220,776 ","$87,420,776 "
552,7-Jul-04,King Arthur,"$90,000,000 ","$51,877,963 ","$203,653,524 "
553,25-Apr-97,Volcano,"$90,000,000 ","$47,546,796 ","$120,100,000 "
554,9-Feb-22,Death on the Nile,"$90,000,000 ","$45,630,104 ","$130,298,184 "
555,26-Mar-97,The Devil's Own,"$90,000,000 ","$42,885,593 ","$140,900,000 "
556,19-Jul-02,K-19: The Widowmaker,"$90,000,000 ","$35,168,966 ","$65,716,126 "
557,19-Aug-11,Conan the Barbarian,"$90,000,000 ","$21,295,021 ","$63,356,133 "
558,21-Oct-11,The Three Musketeers,"$90,000,000 ","$20,377,913 ","$139,877,913 "
559,21-Apr-17,The Promise,"$90,000,000 ","$8,224,288 ","$10,551,417 "
560,24-Nov-10,The Nutcracker in 3D,"$90,000,000 ","$195,459 ","$20,466,016 "
561,13-Dec-17,Bright,"$90,000,000 ",$0 ,$0 
562,14-May-21,Army of the Dead,"$90,000,000 ",$0 ,$0 
563,10-May-96,Twister,"$88,000,000 ","$241,688,385 ","$495,700,000 "
564,3-Jun-05,Cinderella Man,"$88,000,000 ","$61,649,911 ","$105,021,488 "
565,11-Sep-18,The Predator,"$88,000,000 ","$51,024,708 ","$159,487,563 "
566,21-Jul-21,Snake Eyes: G.I. Joe Origins,"$88,000,000 ","$28,264,325 ","$34,677,221 "
567,8-Jul-05,Fantastic Four,"$87,500,000 ","$154,696,080 ","$333,132,750 "
568,9-Feb-01,Hannibal,"$87,000,000 ","$165,092,266 ","$350,100,280 "
569,6-Apr-23,Renfield,"$86,203,077 ","$14,824,485 ","$19,304,092 "
570,25-Jul-03,Seabiscuit,"$86,000,000 ","$120,277,854 ","$148,715,342 "
571,14-Jul-22,Bullet Train,"$85,900,000 ","$103,368,602 ","$238,534,963 "
572,14-Aug-20,Project Power,"$85,100,000 ",$0 ,$0 
573,22-Dec-00,Cast Away,"$85,000,000 ","$233,632,142 ","$427,230,516 "
574,17-Nov-06,Happy Feet,"$85,000,000 ","$198,000,317 ","$385,000,315 "
575,7-Dec-01,Ocean's Eleven,"$85,000,000 ","$183,417,150 ","$450,728,529 "
576,23-Jul-04,The Bourne Supremacy,"$85,000,000 ","$176,087,450 ","$311,001,124 "
577,25-Jul-97,Air Force One,"$85,000,000 ","$172,956,409 ","$315,268,353 "
578,1-Dec-21,Sing 2,"$85,000,000 ","$162,790,990 ","$404,655,351 "
579,2-Apr-09,Fast & Furious,"$85,000,000 ","$155,064,265 ","$359,347,833 "
580,14-Mar-08,Horton Hears a Who,"$85,000,000 ","$154,529,439 ","$299,477,886 "
581,22-Jun-22,Elvis,"$85,000,000 ","$151,040,048 ","$279,854,594 "
582,21-Mar-14,Divergent,"$85,000,000 ","$150,947,895 ","$276,014,965 "
583,27-Sep-12,Hotel Transylvania,"$85,000,000 ","$148,313,048 ","$378,119,469 "
584,3-Apr-19,Shazam!,"$85,000,000 ","$140,371,656 ","$363,563,907 "
585,21-Nov-07,Enchanted,"$85,000,000 ","$127,706,877 ","$340,384,141 "
586,8-Feb-12,Safe House,"$85,000,000 ","$126,181,630 ","$207,884,401 "
587,20-Jul-07,I Now Pronounce You Chuck and Larry,"$85,000,000 ","$119,725,280 ","$185,708,462 "
588,8-Jun-07,Ocean's Thirteen,"$85,000,000 ","$117,144,465 ","$311,744,465 "
589,25-Dec-09,It’s Complicated,"$85,000,000 ","$112,735,375 ","$224,614,744 "
590,20-Nov-98,Enemy of the State,"$85,000,000 ","$111,549,836 ","$250,649,836 "
591,29-Sep-06,Open Season,"$85,000,000 ","$85,105,259 ","$191,932,158 "
592,4-Nov-11,Tower Heist,"$85,000,000 ","$78,046,570 ","$150,422,946 "
593,22-Nov-00,102 Dalmatians,"$85,000,000 ","$66,941,559 ","$66,941,559 "
594,15-Mar-12,Mirror Mirror,"$85,000,000 ","$64,935,167 ","$173,613,482 "
595,8-Dec-06,The Holiday,"$85,000,000 ","$63,280,000 ","$204,920,447 "
596,15-Jun-06,The Fast and the Furious: Tokyo Drift,"$85,000,000 ","$62,615,510 ","$157,794,205 "
597,9-Dec-05,Memoirs of a Geisha,"$85,000,000 ","$57,010,853 ","$161,510,853 "
598,16-Mar-01,Enemy at the Gates,"$85,000,000 ","$51,396,781 ","$96,971,293 "
599,18-Jun-93,Last Action Hero,"$85,000,000 ","$50,016,394 ","$137,298,489 "
600,26-Sep-03,The Rundown,"$85,000,000 ","$47,641,743 ","$80,831,893 "
601,11-Nov-11,Arthur Christmas,"$85,000,000 ","$46,462,469 ","$147,865,565 "
602,19-Jan-17,xXx: Return of Xander Cage,"$85,000,000 ","$44,898,413 ","$345,033,359 "
603,13-Nov-98,Meet Joe Black,"$85,000,000 ","$44,650,003 ","$44,650,003 "
604,30-Jul-10,Cats & Dogs: The Revenge of Kitty Galore,"$85,000,000 ","$43,585,753 ","$113,026,383 "
605,8-Feb-02,Collateral Damage,"$85,000,000 ","$40,048,332 ","$78,353,508 "
606,15-Mar-02,Showtime,"$85,000,000 ","$37,948,765 ","$78,948,765 "
607,30-Jun-95,Judge Dredd,"$85,000,000 ","$34,687,912 ","$113,487,912 "
608,2-Mar-07,Zodiac,"$85,000,000 ","$33,080,084 ","$83,080,084 "
609,13-Aug-10,Scott Pilgrim vs. The World,"$85,000,000 ","$32,841,100 ","$49,286,548 "
610,28-Mar-03,The Core,"$85,000,000 ","$31,111,260 ","$74,120,792 "
611,9-May-97,Father's Day,"$85,000,000 ","$28,681,080 ","$35,681,080 "
612,11-Dec-17,The Greatest Showman,"$84,000,000 ","$174,340,174 ","$430,782,826 "
613,14-Jun-02,Scooby-Doo,"$84,000,000 ","$153,294,164 ","$276,294,164 "
614,28-Jul-00,Nutty Professor II: The Klumps,"$84,000,000 ","$123,307,945 ","$166,307,945 "
615,19-Jul-13,RED 2,"$84,000,000 ","$53,262,560 ","$141,507,355 "
616,23-Jun-06,Click,"$82,500,000 ","$137,355,633 ","$237,685,089 "
617,15-Dec-06,Charlotte\'s Web,"$82,500,000 ","$82,985,708 ","$143,985,708 "
618,14-Feb-08,Jumper,"$82,500,000 ","$80,172,128 ","$222,640,812 "
619,11-Jul-08,Hellboy II: The Golden Army,"$82,500,000 ","$75,986,503 ","$160,388,063 "
620,27-May-05,The Longest Yard,"$82,000,000 ","$158,119,460 ","$191,558,505 "
621,13-Aug-10,The Expendables,"$82,000,000 ","$103,068,524 ","$268,268,174 "
622,5-Feb-20,Birds of Prey (And the Fantabulous Emancipation…,"$82,000,000 ","$84,158,461 ","$201,005,552 "
623,1-Jul-21,The Boss Baby: Family Business,"$82,000,000 ","$57,300,280 ","$146,281,732 "
624,17-Nov-00,The 6th Day,"$82,000,000 ","$34,543,701 ","$96,024,898 "
625,23-May-03,Bruce Almighty,"$81,000,000 ","$242,704,995 ","$484,468,608 "
626,8-Mar-12,The Hunger Games,"$80,000,000 ","$408,010,692 ","$677,923,379 "
627,16-Jun-22,Minions: The Rise of Gru,"$80,000,000 ","$369,695,210 ","$939,082,487 "
628,26-May-11,The Hangover Part II,"$80,000,000 ","$254,464,305 ","$586,764,305 "
629,21-May-96,Mission: Impossible,"$80,000,000 ","$180,981,886 ","$457,697,994 "
630,2-Feb-17,The Lego Batman Movie,"$80,000,000 ","$175,750,384 ","$310,563,096 "
631,23-Sep-15,Hotel Transylvania 2,"$80,000,000 ","$169,700,110 ","$469,747,882 "
632,18-Jun-92,Batman Returns,"$80,000,000 ","$162,833,635 ","$266,824,291 "
633,24-May-19,The Secret Life of Pets 2,"$80,000,000 ","$158,874,395 ","$446,109,716 "
634,7-May-99,The Mummy,"$80,000,000 ","$155,385,488 ","$416,385,488 "
635,19-May-06,Over the Hedge,"$80,000,000 ","$155,019,340 ","$343,397,247 "
636,21-Jun-02,Lilo & Stitch,"$80,000,000 ","$145,771,527 ","$245,799,997 "
637,8-May-98,Deep Impact,"$80,000,000 ","$140,464,664 ","$349,464,664 "
638,12-Jul-13,Grown Ups 2,"$80,000,000 ","$133,668,525 ","$247,023,808 "
639,14-Dec-11,Alvin and the Chipmunks: Chipwrecked,"$80,000,000 ","$133,107,389 ","$349,088,523 "
640,20-Jun-08,Get Smart,"$80,000,000 ","$130,319,208 ","$226,739,416 "
641,11-Mar-05,Robots,"$80,000,000 ","$128,200,012 ","$260,636,271 "
642,19-Feb-10,Shutter Island,"$80,000,000 ","$128,012,934 ","$299,461,782 "
643,12-Dec-03,Something's Gotta Give,"$80,000,000 ","$124,685,242 ","$266,685,242 "
644,26-Nov-08,Four Christmases,"$80,000,000 ","$120,146,040 ","$168,311,558 "
645,27-Jun-97,Face/Off,"$80,000,000 ","$112,276,146 ","$241,199,984 "
646,25-Dec-08,Bedtime Stories,"$80,000,000 ","$110,101,975 ","$221,468,935 "
647,12-Jul-02,Road to Perdition,"$80,000,000 ","$104,054,514 ","$183,354,514 "
648,11-Feb-11,Just Go With It,"$80,000,000 ","$103,028,109 ","$214,974,953 "
649,14-Feb-03,Daredevil,"$80,000,000 ","$102,543,518 ","$182,782,518 "
650,26-Sep-08,Eagle Eye,"$80,000,000 ","$101,440,743 ","$180,585,259 "
651,6-Jun-97,Con Air,"$80,000,000 ","$101,117,573 ","$224,117,573 "
652,17-Dec-10,Yogi Bear,"$80,000,000 ","$100,246,011 ","$204,774,690 "
653,25-Dec-03,Cold Mountain,"$80,000,000 ","$95,632,614 ","$165,173,909 "
654,15-Jan-10,The Book of Eli,"$80,000,000 ","$94,835,059 ","$158,750,817 "
655,26-Nov-97,Flubber,"$80,000,000 ","$92,993,801 ","$177,993,801 "
656,23-Jul-99,The Haunting,"$80,000,000 ","$91,188,905 ","$180,188,905 "
657,15-Nov-96,Space Jam,"$80,000,000 ","$90,463,534 ","$250,180,384 "
658,17-Oct-14,Fury,"$80,000,000 ","$85,817,906 ","$210,315,681 "
659,21-Sep-18,Smallfoot,"$80,000,000 ","$83,240,103 ","$214,244,195 "
660,10-Feb-06,The Pink Panther,"$80,000,000 ","$82,226,474 ","$158,926,474 "
661,8-Jul-11,Zookeeper,"$80,000,000 ","$80,360,866 ","$170,805,525 "
662,12-Dec-08,The Day the Earth Stood Still,"$80,000,000 ","$79,366,978 ","$237,370,350 "
663,8-Aug-97,Conspiracy Theory,"$80,000,000 ","$76,118,990 ","$142,783,718 "
664,12-Jun-98,"Six Days, Seven Nights","$80,000,000 ","$74,339,294 ","$164,800,000 "
665,24-May-02,Spirit: Stallion of the Cimarron,"$80,000,000 ","$73,215,310 ","$106,515,310 "
666,8-Jun-01,Swordfish,"$80,000,000 ","$69,772,969 ","$147,080,413 "
667,31-Dec-99,Fantasia 2000 (Theatrical Release),"$80,000,000 ","$69,610,858 ","$69,618,634 "
668,3-Apr-98,Lost In Space,"$80,000,000 ","$69,117,629 ","$136,047,317 "
669,30-Jul-04,The Manchurian Candidate,"$80,000,000 ","$65,948,711 ","$96,135,872 "
670,22-Nov-06,Déjà Vu,"$80,000,000 ","$64,038,616 ","$181,038,616 "
671,24-Jun-05,Bewitched,"$80,000,000 ","$63,313,159 ","$131,159,306 "
672,22-Dec-06,The Good Shepherd,"$80,000,000 ","$59,908,565 ","$100,378,271 "
673,8-Mar-02,The Time Machine,"$80,000,000 ","$56,684,819 ","$98,983,590 "
674,2-Oct-98,What Dreams May Come,"$80,000,000 ","$55,485,043 ","$71,485,043 "
675,25-Dec-98,Mighty Joe Young,"$80,000,000 ","$50,632,037 ","$50,632,037 "
676,19-Sep-19,Ad Astra,"$80,000,000 ","$50,188,370 ","$135,406,280 "
677,28-Oct-05,The Legend of Zorro,"$80,000,000 ","$45,575,336 ","$141,475,336 "
678,10-Nov-00,Little Nicky,"$80,000,000 ","$39,442,871 ","$58,270,391 "
679,25-Sep-09,Surrogates,"$80,000,000 ","$38,577,772 ","$119,668,350 "
680,8-Jun-01,Evolution,"$80,000,000 ","$38,311,134 ","$98,341,932 "
681,26-Aug-05,The Brothers Grimm,"$80,000,000 ","$37,899,638 ","$105,299,638 "
682,13-Dec-96,Mars Attacks!,"$80,000,000 ","$37,771,017 ","$101,371,017 "
683,14-Apr-06,The Wild,"$80,000,000 ","$37,384,046 ","$99,010,667 "
684,20-Dec-13,Walking with Dinosaurs,"$80,000,000 ","$36,076,121 ","$123,368,842 "
685,22-Dec-00,Thirteen Days,"$80,000,000 ","$34,566,746 ","$66,554,547 "
686,6-Dec-96,Daylight,"$80,000,000 ","$32,908,290 ","$158,908,290 "
687,21-Oct-15,The Last Witch Hunter,"$80,000,000 ","$27,367,660 ","$130,818,912 "
688,21-Feb-14,Pompeii,"$80,000,000 ","$23,169,033 ","$108,469,033 "
689,12-May-00,Battlefield Earth: A Saga of the Year 3000,"$80,000,000 ","$21,471,685 ","$29,725,663 "
690,14-Nov-03,Looney Tunes: Back in Action,"$80,000,000 ","$20,950,820 ","$54,540,662 "
691,18-Dec-09,Nine,"$80,000,000 ","$19,676,965 ","$56,984,219 "
692,26-Nov-03,Timeline,"$80,000,000 ","$19,480,739 ","$26,703,184 "
693,22-Apr-10,Oceans,"$80,000,000 ","$19,422,319 ","$86,787,530 "
694,25-Nov-98,Babe: Pig in the City,"$80,000,000 ","$18,319,860 ","$69,131,860 "
695,25-Dec-97,The Postman,"$80,000,000 ","$17,650,704 ","$20,841,123 "
696,10-Nov-00,Red Planet,"$80,000,000 ","$17,480,890 ","$33,463,969 "
697,12-Jan-07,Arthur et les Minimoys,"$80,000,000 ","$15,132,763 ","$113,325,743 "
698,17-Aug-07,The Invasion,"$80,000,000 ","$15,074,191 ","$40,147,042 "
699,6-Oct-22,Amsterdam,"$80,000,000 ","$14,947,969 ","$29,400,826 "
700,2-Sep-05,A Sound of Thunder,"$80,000,000 ","$1,900,451 ","$6,300,451 "
701,1-Nov-19,The Aeronauts,"$80,000,000 ",$0 ,"$6,628,721 "
702,15-Jun-94,The Lion King,"$79,300,000 ","$421,785,283 ","$986,193,783 "
703,2-Feb-12,Journey 2: The Mysterious Island,"$79,000,000 ","$103,860,290 ","$318,146,162 "
704,11-Nov-11,Jack and Jill,"$79,000,000 ","$74,158,157 ","$150,519,217 "
705,21-Dec-01,A Beautiful Mind,"$78,000,000 ","$170,708,996 ","$317,668,058 "
706,26-Sep-13,Cloudy with a Chance of Meatballs 2,"$78,000,000 ","$119,793,567 ","$274,392,649 "
707,4-Oct-02,Red Dragon,"$78,000,000 ","$92,955,420 ","$206,455,420 "
708,5-Mar-04,Hidalgo,"$78,000,000 ","$67,286,731 ","$108,086,731 "
709,11-Jul-03,The League of Extraordinary Gentlemen,"$78,000,000 ","$66,465,204 ","$179,265,204 "
710,20-Aug-04,Exorcist: The Beginning,"$78,000,000 ","$41,814,863 ","$43,957,541 "
711,17-Oct-12,Astérix et Obélix: Au service de Sa Majesté,"$77,600,000 ",$0 ,"$60,680,125 "
712,29-Jul-15,The Little Prince,"$77,500,000 ","$1,311,213 ","$102,028,919 "
713,1-Sep-17,Renegades,"$77,500,000 ",$0 ,"$1,521,672 "
714,18-Jul-18,The Equalizer 2,"$77,000,000 ","$102,084,362 ","$190,376,181 "
715,26-Jun-13,Despicable Me 2,"$76,000,000 ","$368,065,385 ","$975,216,835 "
716,6-Jun-03,2 Fast 2 Furious,"$76,000,000 ","$127,120,058 ","$236,410,607 "
717,25-Dec-06,Children of Men,"$76,000,000 ","$35,552,383 ","$69,845,011 "
718,30-Jun-00,The Adventures of Rocky & Bullwinkle,"$76,000,000 ","$26,000,610 ","$35,129,610 "
719,8-May-16,The Secret Life of Pets,"$75,000,000 ","$368,384,330 ","$885,302,500 "
720,2-Jul-96,Independence Day,"$75,000,000 ","$306,169,255 ","$817,400,878 "
721,7-Nov-18,Dr. Seuss’ The Grinch,"$75,000,000 ","$270,834,950 ","$512,777,932 "
722,24-Nov-16,Sing,"$75,000,000 ","$270,329,045 ","$631,064,182 "
723,14-Jun-17,Despicable Me 3,"$75,000,000 ","$264,624,300 ","$1,032,809,657 "
724,22-May-97,The Lost World: Jurassic Park,"$75,000,000 ","$229,086,679 ","$618,638,999 "
725,31-Mar-06,Ice Age: The Meltdown,"$75,000,000 ","$195,330,621 ","$651,899,282 "
726,27-May-05,Madagascar,"$75,000,000 ","$193,595,521 ","$556,559,566 "
727,25-Jun-10,Grown Ups,"$75,000,000 ","$162,001,186 ","$272,222,420 "
728,20-Sep-04,Shark Tale,"$75,000,000 ","$161,412,000 ","$371,741,123 "
729,14-Jul-00,X-Men,"$75,000,000 ","$157,299,717 ","$296,872,367 "
730,1-Mar-23,Creed III,"$75,000,000 ","$155,936,984 ","$272,136,984 "
731,27-Jun-08,Wanted,"$75,000,000 ","$134,508,551 ","$342,416,460 "
732,7-Jun-96,The Rock,"$75,000,000 ","$134,069,511 ","$336,069,511 "
733,18-Nov-21,Ghostbusters: Afterlife,"$75,000,000 ","$129,360,575 ","$203,614,138 "
734,13-Feb-04,50 First Dates,"$75,000,000 ","$120,776,832 ","$196,320,329 "
735,18-Jul-18,Mamma Mia: Here We Go Again!,"$75,000,000 ","$120,634,935 ","$399,165,687 "
736,20-Jul-07,Hairspray,"$75,000,000 ","$118,871,849 ","$202,822,861 "
737,31-May-13,Now You See Me,"$75,000,000 ","$117,723,989 ","$342,769,200 "
738,15-Dec-06,Dreamgirls,"$75,000,000 ","$103,365,956 ","$155,620,350 "
739,3-Aug-18,Christopher Robin,"$75,000,000 ","$99,215,042 ","$197,744,377 "
740,23-Jul-99,Inspector Gadget,"$75,000,000 ","$97,387,965 ","$97,387,965 "
741,11-Nov-11,Immortals,"$75,000,000 ","$83,504,017 ","$211,562,435 "
742,18-Jun-04,The Terminal,"$75,000,000 ","$77,073,959 ","$218,673,959 "
743,18-Feb-05,Constantine,"$75,000,000 ","$75,976,178 ","$221,593,554 "
744,30-Mar-22,Morbius,"$75,000,000 ","$73,865,530 ","$162,759,437 "
745,21-Jul-06,Monster House,"$75,000,000 ","$73,661,010 ","$141,267,370 "
746,8-Dec-00,Vertical Limit,"$75,000,000 ","$68,473,360 ","$213,500,000 "
747,21-Dec-07,Charlie Wilson’s War,"$75,000,000 ","$66,661,095 ","$119,512,771 "
748,16-Apr-99,Life,"$75,000,000 ","$64,062,587 ","$73,521,587 "
749,19-Sep-19,Abominable,"$75,000,000 ","$60,761,390 ","$188,668,688 "
750,4-Mar-05,Be Cool,"$75,000,000 ","$55,849,401 ","$94,944,017 "
751,24-Nov-21,House of Gucci,"$75,000,000 ","$53,809,574 ","$147,474,138 "
752,23-Dec-05,Munich,"$75,000,000 ","$47,379,090 ","$131,492,772 "
753,4-Jun-10,Killers,"$75,000,000 ","$47,059,963 ","$95,572,749 "
754,12-Aug-15,The Man From U.N.C.L.E.,"$75,000,000 ","$45,445,109 ","$108,517,735 "
755,7-Mar-03,Tears of the Sun,"$75,000,000 ","$43,632,458 ","$85,632,458 "
756,21-Jul-06,Lady in the Water,"$75,000,000 ","$42,285,169 ","$72,785,169 "
757,17-Dec-04,Spanglish,"$75,000,000 ","$42,044,321 ","$54,344,321 "
758,12-Oct-01,Bandits,"$75,000,000 ","$41,523,271 ","$71,523,271 "
759,17-Dec-99,Anna and the King,"$75,000,000 ","$39,251,128 ","$39,251,128 "
760,7-Jul-95,First Knight,"$75,000,000 ","$37,361,412 ","$127,361,412 "
761,25-Mar-11,Sucker Punch,"$75,000,000 ","$36,392,502 ","$89,758,389 "
762,11-Mar-05,Hostage,"$75,000,000 ","$34,636,443 ","$77,636,443 "
763,5-Oct-16,Inferno,"$75,000,000 ","$34,343,574 ","$219,519,367 "
764,13-Jun-03,Hollywood Homicide,"$75,000,000 ","$30,207,785 ","$50,409,753 "
